2026-02-16 07:06:18 | models.linear_model       | INFO    | ElasticNet model initialized
2026-02-16 07:06:18 | models.linear_model       | INFO    | ElasticNet: 2/39 non-zero coefficients
2026-02-16 07:06:18 | pipeline                  | INFO    |   ElasticNet trained. Non-zero coeffs: 2
2026-02-16 07:06:18 | models.hmm_model          | INFO    | HMM initialized with 4 states
2026-02-16 07:06:18 | models.hmm_model          | WARNING | Insufficient macro features for HMM; using rule-based fallback
2026-02-16 07:06:18 | pipeline                  | INFO    |   HMM regime detection complete. Current regime: 0
2026-02-16 07:06:18 | pipeline                  | INFO    | STEP 5: Combining signals...
2026-02-16 07:06:18 | pipeline                  | INFO    |   Composite signal range: [-0.907, 0.973]
2026-02-16 07:06:18 | pipeline                  | INFO    | STEP 6: Constructing portfolio...
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0124
2026-02-16 07:06:18 | portfolio.constraints     | INFO    | Vol targeting: 18.8% -> 12.0% (scale: 0.64)
2026-02-16 07:06:18 | pipeline                  | INFO    |   Portfolio: 40 holdings
2026-02-16 07:06:18 | pipeline                  | INFO    |   Top 5: {'UPS': 0.0689603002230769, 'LMT': 0.0689603002230769, 'LIN': 0.0689603002230769, 'ACN': 0.0689603002230769, 'RTX': 0.0689603002230769}
2026-02-16 07:06:18 | pipeline                  | INFO    | STEP 7: Running backtest...
2026-02-16 07:06:18 | backtest.engine           | INFO    | Backtest: 2017-05-22 to 2025-12-31, 104 rebalance dates
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.2631
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.2717
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0921
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0861
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0899
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0924
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0794
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0801
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0865
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0905
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0648
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0622
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0584
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0604
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0632
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0634
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0533
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0472
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0393
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0363
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0397
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0401
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0506
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0477
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0460
